gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,charge_per_month_ratio,is_new_customer,has_internet_addon,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_61+,monthly_charge_category_Medium,monthly_charge_category_High,monthly_charge_category_Very High
0,0,0,1,-0.8742327987951762,1,0,-1.4905018694649346,-0.9108822180985394,-0.6976407051710878,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0.6349479846893362,1,0,-1.3424323957151836,-0.47875237954768735,-0.5981628504078463,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,-1.2821194970342338,1,0,-0.3525297341297692,-0.9843478089085534,-0.556264062457861,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,1,1,1.613876060463074,1,0,0.825371248059262,1.7796823511688995,0.4132409336427505,0,6,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
0,0,1,1,1.5730873906391682,1,0,0.421091673663874,1.4432710749634505,0.26026669728788693,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
0,1,1,0,1.4915100509913568,1,0,1.3477736610640019,2.0697845779143393,0.6267518615652554,0,4,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
1,0,0,0,-1.2821194970342338,1,0,-1.4938292733694234,-0.9994323330916333,-0.834821391997182,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,-0.7110781194995532,1,0,1.337791449350535,-0.3121629404645785,0.6094841495555475,0,5,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,0,1.5322987208152625,0,1,-0.6752879128651815,0.33669149043093055,-0.29764371913736454,0,4,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
0,0,1,1,-1.1189648177386107,1,1,0.6223996098854456,-0.8304680709592932,0.0969515217776896,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,-0.017670732493155674,1,0,0.8220438441547729,0.26793156751476355,0.43100375175973266,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,1,1,0.5533706450415247,1,1,1.5074890484794634,1.1784123376672457,0.7210286834559254,0,5,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,-0.915021468619082,1,0,-1.3041672508135624,-0.897578811202383,-0.6257372792870423,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,1,-0.18082541178877864,1,0,-0.01646193977640131,-0.21567475953840612,0.012108266920852245,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1,1,1,0,0.10469527697856156,1,1,1.1947130814575173,0.503522809639424,0.5536790642018146,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,0,0.0639066071546558,1,1,0.6756380723572665,0.2559035285524534,0.33669722617114617,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,1,-0.09924807214096716,1,0,-1.517121100700845,-0.7430833783885072,-0.6813568160128555,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,0.512581975217619,1,1,1.0083784628061454,0.8765899193918033,0.5160527762770409,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1
1,0,1,1,-0.915021468619082,1,1,-1.3474235015719167,-0.8965673124962289,-0.6223411390382194,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,-1.1189648177386107,1,0,0.10166089883295057,-0.8541723232469901,-0.04895946036195464,1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-1.1189648177386107,0,1,-0.4623340629778991,-0.8736766569939168,-0.1690179401002334,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,0,-0.8334441289712705,1,0,-1.4888381675126903,-0.8935767945823823,-0.6715227018388987,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,-0.05845940231706142,1,0,-1.4805196577514683,-0.7403567297023529,-0.6880813701862897,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,-1.2821194970342338,1,1,0.4759938380879392,-0.9733972359593207,-0.354046059381211,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,-1.2821194970342338,1,0,0.19981931401536993,-0.9770474269423982,-0.4214520604067609,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,-0.017670732493155674,1,0,0.8702912007698604,0.2546061715162994,0.4160902663192495,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,1,1,-0.7110781194995532,1,1,-1.4938292733694234,-0.8815487556200723,-0.7048313553808917,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,-0.5887121100278361,1,1,0.3661895092398093,-0.4043852355430577,0.17652508248952578,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0.5533706450415247,1,1,0.998396251092679,0.9369060270218147,0.531251675185324,0,3,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,-1.2821194970342338,1,0,-0.6902612304353811,-0.9888115966770159,-0.63869429262766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0.3902159657459017,1,0,-1.4821833597037126,-0.6256615720654077,-0.6686577615621053,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,-0.4255574307322131,1,1,1.193049379505273,-0.08688458732222762,0.4822261922107878,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-0.8742327987951762,0,0,-0.47730738054809874,-0.7595971942215873,-0.23202495511507978,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,-1.2413308272103278,1,1,0.4543657127087619,-0.9424585690123916,-0.18756135805304536,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,0,0,0.2678499562741845,1,1,1.023351780376345,0.6449347265802204,0.5291552811647078,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,-0.8742327987951762,0,1,-0.959780946698973,-0.8311717222331395,-0.45231263918954284,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,1,0,-0.2216140816126844,1,0,0.6307181196466676,0.007756509010098129,0.34286934192770246,0,5,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,-1.2413308272103278,1,1,-1.4755285518947352,-0.9934512972639399,-0.8153305001343722,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,-1.2005421573864221,1,1,1.124837599463253,-0.8790859761616102,0.19515042487816456,1,4,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,0,1.613876060463074,1,0,-1.4771922538469795,-0.34756539517996987,-0.6629967202956437,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
0,0,1,1,1.613876060463074,1,1,1.4742150094345756,2.383129285799015,0.7185426148020453,0,5,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
1,0,1,1,1.5322987208152625,1,1,1.3694017864431787,2.3139075917343863,0.7308668527641123,0,4,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,0,0.6349479846893362,1,0,-1.4888381675126903,-0.5759442117477059,-0.6714194337697669,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0,0,1,1,1.613876060463074,1,1,1.0050510589016561,2.0012665351235572,0.5253469366687393,0,3,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,-0.8742327987951762,1,0,-0.5438554586378745,-0.7878971688915928,-0.3191248781270104,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0.7573139941610534,1,1,0.16155416911374865,0.5584955654086653,0.11551576333291923,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,-1.2413308272103278,1,0,-1.4688737440857575,-0.9887896075747082,-0.757940651871655,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1.4915100509913568,1,1,1.50249794262273,2.259682465443607,0.7269443271171745,0,5,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1
0,0,1,0,1.5730873906391682,0,0,0.06339575393132932,1.053976007707991,0.06057529130456406,0,6,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
0,1,1,1,-0.1400367419648729,0,1,-0.9730905623169281,-0.55738540940001,-0.4422152743772818,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0,0.0639066071546558,1,0,0.797088314871107,0.31122810995861794,0.3950770879887998,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.915021468619082,1,0,-0.45567925516892144,-0.7891065695185161,-0.2615381521687092,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,1,-0.7926554591473648,1,0,-1.4655463401812687,-0.888453333744689,-0.6812726099708215,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,-1.2821194970342338,1,1,0.3179421526247218,-0.9754862006785519,-0.39262178285968835,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.512581975217619,1,1,0.8120616324413066,0.8354043307694875,0.4829853483250094,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,1,0,0,-0.9965988082668935,1,0,1.1780760619350734,-0.6421753878984879,0.5049067167395525,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,0,1.1652006924001108,1,0,-1.3174768664315177,-0.3244108704499654,-0.5899015693823872,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,1,-0.8742327987951762,1,0,-1.5054751870351342,-0.9089471770954621,-0.6916851548796737,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1.2467780320479223,1,1,1.459241691864376,2.0138223125412518,0.7467071343240523,0,5,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0.349427295921996,1,0,-0.4939444000705427,-0.11588821326607936,-0.21256306755563753,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,-0.9558101384429878,1,1,0.3428976819083877,-0.7294721240600431,0.032279659749561714,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,-0.2216140816126844,1,1,-0.2726720404220381,-0.28129024082457255,-0.0383922258351436,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,-1.0373874780907992,1,1,1.1614390424126293,-0.7121447114415782,0.36965481608738215,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,-1.2413308272103278,1,0,0.4876397517536498,-0.941491048510853,-0.17565025747021723,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,0,-0.46634610055611886,1,1,-1.4821833597037126,-0.8223321031054455,-0.6851697336414427,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
1,0,0,1,0.9612573432805821,1,1,-1.3341138859539616,-0.38189038388228413,-0.5914132073595797,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0.4310046355698075,1,1,-0.03143525734660095,0.1954774754109035,0.013124690454842165,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0.3086386260980903,1,1,0.8869282202923043,0.6073553507363669,0.4580744349025237,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,-1.1597534875625164,1,1,0.797088314871107,-0.8444311509246805,0.21265162152997905,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,1,-0.7518667893234591,1,1,0.018475801220730868,-0.5958883275407868,0.01801340973331071,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1,0,0,0,1.3283553716957337,1,0,-1.3025035488613181,-0.2804986331414955,-0.590016282394532,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,0,-1.2005421573864221,1,1,0.33457917214716576,-0.9148182674116171,-0.1347735259246026,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1,1,0,0.3902159657459017,1,1,0.3079599409112555,0.4120041658347911,0.22259726460648643,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0,0,-0.18082541178877864,1,0,-0.3525297341297692,-0.3281929960468893,-0.13118899408776402,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,0.349427295921996,1,1,-1.4988203792261565,-0.6518066147092589,-0.6838249886671419,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,-0.017670732493155674,1,0,0.8669637968653718,0.26623840663707077,0.42910880393973716,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,1,1.450721381167451,1,1,0.7188943231156206,1.5788998579973224,0.3875376505221988,0,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1,1,1.0836233527522994,1,1,1.151456830699163,1.56966443502809,0.589570278268632,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
1,0,1,0,1.1652006924001108,1,1,1.637257800754526,2.128363546462043,0.8711948908575997,0,5,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,-1.078176147914705,1,1,0.8103979304890623,-0.7940321284354401,0.13287818554862268,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,0.023117937330750068,1,1,1.2928714966399366,0.46990147221095613,0.6083883840356868,0,5,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1
0,0,1,0,-0.7518667893234591,1,1,-0.006479728062935041,-0.5943930685838633,0.021695022640730303,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,1.124412022576205,1,0,1.2063589951232283,1.6601056128196456,0.6183151278402128,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
1,0,1,0,1.613876060463074,1,1,1.1481294267946744,2.195892079648979,0.6238137653660727,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,-1.2413308272103278,1,1,-0.19614175061879605,-0.9580268534462407,-0.3792217947040067,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,-0.9965988082668935,1,1,-0.6569871913904932,-0.8154275249808288,-0.20605965820061936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,1,0.6349479846893362,1,0,-1.4938292733694234,-0.5966359570192483,-0.6870154620375424,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,1,0,1.4915100509913568,1,1,-0.11462035495882066,0.8085996150564054,-0.038664866286796044,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
1,1,1,0,1.613876060463074,1,1,0.6623284567393112,1.692759429746575,0.36926405263037226,0,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
1,0,1,1,-1.1597534875625164,1,0,1.2063589951232283,-0.8385160824039101,0.25634370412244395,1,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,-1.2821194970342338,1,0,0.2064741218243471,-0.9769594705331675,-0.4198278194181936,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1.450721381167451,0,0,-0.8649499354210425,0.1876273658870557,-0.357153303011514,0,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
1,1,0,0,-0.7110781194995532,1,1,0.3096236428634998,-0.5095591118807702,0.15383379473147973,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0.18627261662637304,1,0,0.023466907077463767,0.00933972437625244,-0.008253701551978626,0,4,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,1,1,1.287566701871828,1,0,-1.500484081178401,-0.42039330202306074,-0.6632390727972045,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0.5533706450415247,1,0,-1.3291227800972283,-0.49548608640384434,-0.5943300507324794,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,-0.09924807214096716,1,0,-0.013134535871912711,-0.15947061403993382,0.013949314270518773,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
0,1,1,0,-0.5071347703800245,1,0,0.8619726910086385,-0.1502132019683936,0.5117517323342295,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,-1.2005421573864221,1,1,0.14824455349579332,-0.9240756794831574,-0.2202492079479657,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,0,1.5322987208152625,1,0,0.3728443170487865,1.3068946624511164,0.20703769563428262,0,4,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
0,0,0,0,1.613876060463074,1,1,0.6590010528348226,1.711889948754271,0.3789427489321099,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,0,0,0,-1.1189648177386107,1,0,0.35454359557409826,-0.8263121306231386,0.12253331734762729,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0.5533706450415247,1,0,1.0366613959942999,0.926593138039505,0.5231477494019396,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1.613876060463074,1,1,0.2846681135798339,1.3353705499395834,0.18845043080032384,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0
1,0,1,1,1.613876060463074,1,1,0.34955248971736536,1.4018875844203655,0.22210336909084855,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1,0,1.613876060463074,1,1,1.7603717452206111,2.811191140422943,0.9351117882571337,0,6,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1,0,0,1,-0.46634610055611886,1,0,-1.5071388889873785,-0.8336345016916016,-0.7041438215533447,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
0,1,0,0,-0.7110781194995532,1,0,0.8303623539159949,-0.3815605473476687,0.44929338205808095,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
